passed, epoch, train_loss, val_loss
57.2 sec, Epoch 0/15, 389.1832, 3.4652
112.2 sec, Epoch 1/15, 197.6615, 3.7957
166.4 sec, Epoch 2/15, 65.9575, 4.8431
222.5 sec, Epoch 3/15, 18.9948, 5.4293
279.3 sec, Epoch 4/15, 11.2402, 5.8335
336.7 sec, Epoch 5/15, 9.1742, 5.8726
393.5 sec, Epoch 6/15, 7.4644, 6.4150
450.3 sec, Epoch 7/15, 8.6579, 6.0967
507.7 sec, Epoch 8/15, 8.1444, 6.2940
564.7 sec, Epoch 9/15, 6.6949, 6.0791
621.0 sec, Epoch 10/15, 6.1676, 6.0168
677.5 sec, Epoch 11/15, 7.7970, 6.1352
734.0 sec, Epoch 12/15, 7.2051, 6.4589
790.5 sec, Epoch 13/15, 4.5251, 6.2304
847.1 sec, Epoch 14/15, 4.8129, 6.4833
